Member_number,Date,itemDescription
2013,30-08-2015,packaged fruit/vegetables
3967,30-05-2015,pasta
2885,15-05-2015,citrus fruit
3935,02-07-2015,sausage
3283,01-05-2015,whole milk
3268,06-11-2015,canned beer
3677,30-04-2015,citrus fruit
3495,27-06-2015,liquor (appetizer)
1410,04-10-2015,citrus fruit
2440,06-06-2015,sausage
4088,13-01-2015,chicken
2469,23-09-2015,hamburger meat
4229,06-03-2015,sausage
2728,02-08-2015,beef
4694,25-01-2015,citrus fruit
2836,29-12-2015,UHT-milk
1311,12-02-2015,candy
1760,23-01-2015,newspapers
3656,02-03-2015,beef
3720,28-05-2015,sausage
2996,26-09-2015,frankfurter
1949,22-07-2015,canned beer
4498,11-02-2015,bottled beer
2447,28-12-2015,onions
1952,23-03-2015,tropical fruit
4099,27-01-2015,bottled water
1804,12-03-2015,beef
1510,16-05-2015,sausage
2879,18-04-2015,hair spray
4899,12-03-2015,chicken
4326,29-09-2015,pork
1670,17-05-2015,ice cream
1117,24-05-2015,meat
1346,03-04-2015,other vegetables
1178,15-11-2015,bottled water
1649,25-06-2015,tropical fruit
4651,21-06-2015,photo/film
4243,02-04-2015,sausage
4429,21-07-2015,grapes
4645,25-07-2015,domestic eggs
4019,24-07-2015,rolls/buns
4459,26-04-2015,tropical fruit
3006,27-12-2015,chicken
1834,17-09-2015,frankfurter
3236,04-07-2015,berries
1765,11-03-2015,margarine
3855,09-03-2015,tropical fruit
4392,28-11-2015,ham
3330,26-07-2015,hamburger meat
1723,02-09-2015,yogurt
4110,30-03-2015,soda
2600,28-01-2015,yogurt
2946,07-10-2015,soda
2426,08-09-2015,bottled water
4170,03-05-2015,sausage
1109,06-04-2015,citrus fruit
3429,04-01-2015,shopping bags
2055,04-02-2015,newspapers
2480,20-09-2015,frankfurter
2441,30-05-2015,sausage
1054,04-10-2015,frankfurter
4818,11-01-2015,salt
3379,21-01-2015,oil
3939,10-02-2015,curd
1367,05-08-2015,other vegetables
1043,10-01-2015,citrus fruit
2231,17-10-2015,frankfurter
3235,28-12-2015,root vegetables
4554,16-07-2015,tropical fruit
3245,24-01-2015,beef
2996,19-05-2015,berries
2507,05-01-2015,canned beer
4186,25-10-2015,whipped/sour cream
3929,28-04-2015,root vegetables
3760,22-11-2015,whole milk
4928,18-08-2015,beef
4217,18-12-2015,frozen vegetables
1174,11-02-2015,rolls/buns
4103,19-06-2015,whole milk
4408,13-03-2015,whole milk
2588,28-12-2015,citrus fruit
2598,11-11-2015,pastry
1518,11-12-2015,frankfurter
2702,08-04-2015,tropical fruit
1001,20-01-2015,frankfurter
2270,30-09-2015,berries
2838,10-11-2015,rolls/buns
1683,26-05-2015,root vegetables
4040,03-04-2015,yogurt
3897,23-08-2015,other vegetables
2200,11-03-2015,berries
4073,29-01-2015,berries
3700,19-04-2015,other vegetables
3973,10-06-2015,rolls/buns
2715,06-07-2015,ham
3967,23-11-2015,whole milk
4002,03-09-2015,tropical fruit
2962,01-03-2015,bottled water
4340,25-12-2015,butter milk
2092,06-11-2015,newspapers
3143,24-05-2015,coffee
2209,03-10-2015,bottled beer
2816,22-08-2015,onions
2659,01-06-2015,hamburger meat
1588,13-10-2015,sausage
1144,15-10-2015,hard cheese
2166,10-12-2015,sausage
3300,06-10-2015,hamburger meat
3944,03-01-2015,onions
4979,24-04-2015,coffee
2630,21-01-2015,shopping bags
4240,29-04-2015,yogurt
2357,08-07-2015,soda
1743,18-04-2015,sliced cheese
2331,15-02-2015,sausage
1643,28-04-2015,yogurt
1291,20-03-2015,domestic eggs
3675,04-07-2015,whole milk
4134,06-11-2015,meat
1363,21-06-2015,dish cleaner
4212,01-05-2015,other vegetables
1500,21-03-2015,whole milk
2622,01-10-2015,other vegetables
3543,18-03-2015,tropical fruit
2525,24-05-2015,baking powder
1264,12-10-2015,specialty bar
3601,06-07-2015,ice cream
1771,23-03-2015,frankfurter
4694,06-02-2015,canned beer
1122,21-12-2015,bottled water
3507,12-08-2015,other vegetables
4524,26-04-2015,citrus fruit
3612,27-09-2015,sausage
3262,11-06-2015,domestic eggs
1897,25-01-2015,pork
1656,30-10-2015,specialty cheese
3953,10-01-2015,pork
1488,21-06-2015,beef
1652,17-03-2015,other vegetables
4953,16-09-2015,chicken
3445,30-04-2015,soda
3180,15-03-2015,whole milk
4934,06-09-2015,rolls/buns
2980,27-04-2015,bottled beer
2763,13-02-2015,root vegetables
4819,04-03-2015,pastry
3169,02-07-2015,berries
1850,11-03-2015,citrus fruit
4285,29-12-2015,whole milk
4366,13-08-2015,soda
2253,16-06-2015,bottled water
3398,11-03-2015,tropical fruit
2215,22-07-2015,salty snack
3737,03-03-2015,bottled water
2649,28-11-2015,chocolate
3203,07-08-2015,citrus fruit
4261,16-02-2015,bottled water
2435,17-07-2015,onions
2046,21-08-2015,dessert
4267,11-02-2015,beef
1086,28-12-2015,rolls/buns
1992,04-01-2015,beef
3622,26-07-2015,soda
4700,27-06-2015,coffee
2272,16-05-2015,rolls/buns
1663,19-05-2015,pork
2519,03-06-2015,soda
2639,30-10-2015,sausage
1466,19-04-2015,beef
4122,23-10-2015,whole milk
3598,15-04-2015,pork
3097,10-08-2015,berries
1873,19-09-2015,sausage
1537,01-02-2015,bottled water
3960,25-03-2015,tropical fruit
1136,15-06-2015,herbs
2453,21-12-2015,yogurt
1746,15-02-2015,Instant food products
3572,09-06-2015,specialty chocolate
3246,24-06-2015,coffee
3207,26-11-2015,bottled beer
1042,12-02-2015,beef
1176,30-03-2015,whole milk
3054,23-02-2015,frankfurter
4486,02-12-2015,frankfurter
1580,05-12-2015,other vegetables
1623,02-11-2015,frankfurter
4169,24-11-2015,whole milk
2254,24-01-2015,frankfurter
4095,01-11-2015,other vegetables
1264,17-11-2015,bottled water
3375,06-01-2015,pork
3242,23-05-2015,bottled water
2227,07-06-2015,other vegetables
3847,03-12-2015,hamburger meat
3897,31-05-2015,hamburger meat
1799,27-09-2015,shopping bags
2920,26-04-2015,whole milk
3713,31-01-2015,ice cream
4230,05-11-2015,pastry
1455,18-03-2015,ham
3687,18-03-2015,frankfurter
3869,01-08-2015,sausage
2988,14-10-2015,bottled beer
4242,30-03-2015,bottled water
4118,24-12-2015,meat
4996,24-10-2015,dessert
4489,04-03-2015,other vegetables
1199,09-11-2015,beverages
4108,12-05-2015,ham
3484,05-06-2015,specialty bar
1239,31-08-2015,brown bread
4839,19-12-2015,whole milk
4748,07-05-2015,rolls/buns
4426,06-06-2015,bottled beer
3571,11-12-2015,pet care
2852,08-06-2015,citrus fruit
3638,26-05-2015,pork
3635,10-03-2015,other vegetables
2723,07-05-2015,white wine
3495,11-03-2015,whole milk
2813,16-11-2015,pip fruit
2799,02-09-2015,sugar
4723,22-05-2015,tropical fruit
3313,08-04-2015,root vegetables
4748,15-12-2015,soda
2991,16-02-2015,whole milk
1483,01-04-2015,tropical fruit
3950,01-10-2015,white bread
1634,16-01-2015,brown bread
2694,21-11-2015,tropical fruit
2707,18-10-2015,domestic eggs
2813,16-07-2015,coffee
2276,11-01-2015,soda
4726,06-02-2015,whole milk
4353,25-05-2015,bottled beer
4017,13-08-2015,pork
1422,21-08-2015,other vegetables
2714,15-03-2015,yogurt
2769,21-07-2015,sparkling wine
4166,30-04-2015,bottled water
3614,02-03-2015,citrus fruit
4361,05-09-2015,hamburger meat
1922,22-09-2015,packaged fruit/vegetables
4728,06-09-2015,other vegetables
3646,08-08-2015,soda
1155,10-08-2015,whole milk
2119,11-06-2015,herbs
1602,29-08-2015,citrus fruit
1074,24-06-2015,misc. beverages
2256,11-04-2015,female sanitary products
1348,17-09-2015,soda
3806,28-08-2015,tropical fruit
1711,06-06-2015,soda
3959,12-04-2015,white bread
1590,15-08-2015,coffee
1962,08-06-2015,tropical fruit
1766,21-01-2015,pork
2551,21-10-2015,citrus fruit
2294,23-09-2015,frankfurter
4531,29-05-2015,frankfurter
2957,12-04-2015,frankfurter
4415,27-01-2015,other vegetables
1476,26-08-2015,yogurt
3978,23-07-2015,sausage
2062,22-09-2015,whole milk
3252,28-06-2015,pip fruit
3922,24-06-2015,whole milk
1491,17-10-2015,root vegetables
3526,26-08-2015,onions
4060,11-12-2015,specialty chocolate
1067,08-04-2015,hamburger meat
2840,27-01-2015,photo/film
4484,27-11-2015,rolls/buns
2353,07-02-2015,canned beer
3130,18-02-2015,canned beer
4273,14-06-2015,other vegetables
4565,30-12-2015,canned beer
2504,14-08-2015,curd
4127,23-10-2015,butter
2690,01-04-2015,other vegetables
4129,22-09-2015,whole milk
4511,29-06-2015,beef
1602,04-08-2015,sausage
4369,01-02-2015,soda
1302,29-09-2015,fruit/vegetable juice
3326,30-04-2015,rolls/buns
2066,21-05-2015,pip fruit
3483,15-01-2015,frozen vegetables
2840,12-02-2015,beverages
1807,18-05-2015,hamburger meat
2067,12-08-2015,root vegetables
3783,17-02-2015,canned beer
2884,04-01-2015,frozen vegetables
2908,15-03-2015,canned beer
1330,10-07-2015,newspapers
2293,08-05-2015,rolls/buns
3718,20-05-2015,hamburger meat
4338,25-01-2015,pip fruit
3486,08-11-2015,canned beer
3635,04-09-2015,grapes
2857,18-02-2015,root vegetables
3684,13-08-2015,citrus fruit
3120,20-10-2015,cling film/bags
3872,19-03-2015,frankfurter
2777,07-04-2015,whole milk
2702,27-05-2015,pork
4796,29-06-2015,chicken
1564,23-10-2015,sausage
2740,02-07-2015,specialty bar
1833,13-04-2015,whipped/sour cream
1757,23-12-2015,root vegetables
2975,24-10-2015,rolls/buns
4032,10-08-2015,other vegetables
3979,16-09-2015,citrus fruit
3772,09-03-2015,whole milk
4523,28-10-2015,frankfurter
4004,19-04-2015,coffee
2936,08-06-2015,ham
2394,21-06-2015,canned beer
4616,16-08-2015,canned beer
2362,08-07-2015,canned beer
3593,03-11-2015,pip fruit
4389,27-08-2015,pork
3206,11-08-2015,soap
4601,04-01-2015,pip fruit
4382,13-11-2015,beef
2718,08-06-2015,sausage
4691,12-10-2015,frozen chicken
3735,28-11-2015,soda
3900,20-12-2015,tropical fruit
4959,30-06-2015,other vegetables
1815,30-08-2015,beef
2454,08-04-2015,meat
4778,15-01-2015,meat
2289,04-11-2015,bottled water
1734,13-07-2015,rolls/buns
4019,05-02-2015,pastry
4605,28-05-2015,pork
4864,14-11-2015,pip fruit
4205,22-02-2015,beef
1862,03-08-2015,beef
1846,19-07-2015,rolls/buns
2019,28-05-2015,citrus fruit
2042,19-11-2015,meat
1768,26-05-2015,beverages
3847,26-03-2015,beef
3557,20-07-2015,ham
3975,27-02-2015,hamburger meat
4198,18-03-2015,beef
2580,04-09-2015,beef
3474,25-08-2015,root vegetables
1678,14-11-2015,citrus fruit
4254,14-08-2015,yogurt
4704,21-08-2015,tropical fruit
3343,10-05-2015,frankfurter
3812,24-06-2015,beef
3093,13-03-2015,shopping bags
2170,18-06-2015,canned beer
4867,29-10-2015,rolls/buns
3899,23-03-2015,other vegetables
2941,03-10-2015,hamburger meat
1958,03-07-2015,hamburger meat
2760,08-08-2015,frankfurter
4413,03-08-2015,bottled beer
1737,15-05-2015,tropical fruit
4202,18-02-2015,soda
1065,13-11-2015,frankfurter
3819,28-06-2015,chicken
2854,08-02-2015,coffee
4387,16-09-2015,whole milk
4530,12-04-2015,margarine
4191,03-11-2015,tropical fruit
3102,04-12-2015,meat
1946,25-01-2015,cream cheese 
2156,15-05-2015,newspapers
1444,16-12-2015,rolls/buns
1699,14-05-2015,citrus fruit
4954,04-05-2015,whole milk
2207,08-04-2015,frankfurter
4826,28-01-2015,ham
2374,08-06-2015,frankfurter
1604,18-08-2015,sausage
4437,29-11-2015,domestic eggs
2319,10-05-2015,whole milk
3018,27-06-2015,rolls/buns
1195,28-09-2015,whole milk
1768,04-09-2015,sausage
3017,28-09-2015,curd
3384,29-11-2015,bottled water
1918,30-01-2015,beef
2524,17-10-2015,frankfurter
2798,17-06-2015,chicken
2096,25-01-2015,sausage
1489,13-03-2015,pork
1431,20-07-2015,yogurt
2747,05-07-2015,whole milk
3054,22-03-2015,frankfurter
2691,09-10-2015,beef
1752,19-04-2015,pip fruit
3027,15-09-2015,sausage
4452,17-06-2015,pastry
4129,13-08-2015,chicken
3523,09-11-2015,root vegetables
2128,11-02-2015,whole milk
4867,03-02-2015,detergent
4762,30-10-2015,rolls/buns
1632,29-05-2015,house keeping products
4018,17-11-2015,yogurt
1722,13-07-2015,tropical fruit
1438,19-10-2015,tropical fruit
3958,27-10-2015,curd
3292,13-09-2015,beef
2861,23-02-2015,whole milk
1757,24-02-2015,pork
1509,30-12-2015,other vegetables
2364,11-05-2015,rolls/buns
3084,26-10-2015,frankfurter
1850,17-02-2015,yogurt
1949,17-03-2015,whole milk
4740,02-10-2015,bottled water
1072,23-10-2015,frankfurter
4196,09-07-2015,rolls/buns
4814,13-09-2015,whole milk
1514,28-02-2015,rolls/buns
4584,25-10-2015,chicken
2751,03-02-2015,tropical fruit
4155,24-09-2015,sausage
4670,11-10-2015,sausage
4566,27-07-2015,frankfurter
2371,30-08-2015,UHT-milk
3442,14-11-2015,rolls/buns
3090,27-09-2015,canned beer
1457,09-01-2015,yogurt
4952,08-04-2015,whipped/sour cream
3165,11-01-2015,rolls/buns
2608,19-09-2015,rolls/buns
2040,07-10-2015,beverages
1327,09-08-2015,rolls/buns
3363,07-01-2015,rolls/buns
1731,09-09-2015,bottled beer
2760,02-08-2015,citrus fruit
3120,14-01-2015,bottled water
1332,30-04-2015,pastry
4530,12-09-2015,domestic eggs
3145,23-02-2015,beef
1099,13-08-2015,spread cheese
3188,06-12-2015,tropical fruit
3748,13-10-2015,packaged fruit/vegetables
4655,31-03-2015,whole milk
1827,01-05-2015,meat
2485,17-02-2015,onions
4683,15-01-2015,frankfurter
4358,06-11-2015,beef
1931,09-10-2015,beef
2490,18-12-2015,sausage
4842,08-12-2015,chicken
4616,01-01-2015,canned beer
2810,22-09-2015,sausage
2785,18-10-2015,tropical fruit
3591,20-07-2015,frankfurter
3896,10-09-2015,sausage
3842,01-07-2015,beef
2648,10-07-2015,tropical fruit
4688,02-10-2015,yogurt
3511,26-08-2015,frankfurter
3084,04-09-2015,bottled beer
3810,07-05-2015,grapes
4348,26-02-2015,beverages
3584,10-03-2015,curd
2620,11-06-2015,ice cream
2716,18-01-2015,sausage
3797,10-08-2015,other vegetables
2976,02-06-2015,dessert
2762,07-11-2015,decalcifier
3752,25-04-2015,canned beer
1659,30-11-2015,coffee
4109,08-02-2015,berries
1542,07-08-2015,pork
2068,07-06-2015,frankfurter
4509,14-06-2015,pork
4646,14-06-2015,frankfurter
2122,07-04-2015,frozen dessert
2730,15-06-2015,chicken
1800,31-07-2015,vinegar
1456,18-09-2015,rolls/buns
1138,02-09-2015,whole milk
4104,12-06-2015,pork
4985,28-02-2015,rolls/buns
3181,13-12-2015,grapes
3178,21-10-2015,frankfurter
1688,10-11-2015,finished products
1488,28-11-2015,onions
4975,08-05-2015,tropical fruit
4697,09-01-2015,other vegetables
4742,11-01-2015,ham
2640,22-04-2015,other vegetables
2548,25-12-2015,curd
2825,29-12-2015,sausage
2592,04-07-2015,canned beer
3622,28-12-2015,ham
4852,21-08-2015,packaged fruit/vegetables
1839,03-09-2015,meat
2413,04-04-2015,whole milk
2982,14-06-2015,canned beer
1981,31-10-2015,chicken
4440,21-09-2015,rolls/buns
3497,24-11-2015,pet care
3668,18-12-2015,root vegetables
4460,28-05-2015,pastry
1335,16-01-2015,frankfurter
4303,07-12-2015,chicken
3508,28-02-2015,frozen dessert
1959,19-03-2015,citrus fruit
3856,06-03-2015,sausage
3141,29-07-2015,root vegetables
4640,25-09-2015,root vegetables
4851,25-05-2015,bottled beer
3306,22-09-2015,frankfurter
2193,08-04-2015,root vegetables
1156,13-09-2015,berries
4596,08-04-2015,hamburger meat
1245,08-10-2015,tropical fruit
1515,05-07-2015,frankfurter
2564,14-07-2015,frankfurter
4527,18-10-2015,soda
2487,09-07-2015,ice cream
3420,27-02-2015,beef
4442,28-11-2015,whole milk
3164,30-04-2015,pork
3601,01-04-2015,whole milk
3176,25-05-2015,bottled beer
2568,22-07-2015,pork
1856,26-10-2015,root vegetables
3859,30-09-2015,canned beer
1668,21-08-2015,citrus fruit
4499,23-08-2015,pip fruit
1753,21-08-2015,root vegetables
3829,25-06-2015,tropical fruit
4825,08-01-2015,beef
3694,10-11-2015,chicken
4147,02-01-2015,citrus fruit
2196,09-10-2015,meat
2229,22-05-2015,cream cheese 
4724,03-09-2015,citrus fruit
3066,11-10-2015,specialty bar
1120,08-06-2015,meat
4769,22-08-2015,citrus fruit
4711,17-09-2015,frankfurter
2391,22-06-2015,citrus fruit
1216,04-03-2015,turkey
3154,14-05-2015,citrus fruit
3911,30-07-2015,sausage
3111,15-10-2015,newspapers
1385,26-11-2015,whole milk
1158,21-03-2015,yogurt
2733,22-07-2015,yogurt
4999,26-12-2015,bottled water
2882,12-06-2015,berries
2590,25-06-2015,packaged fruit/vegetables
4249,04-08-2015,frankfurter
3012,03-05-2015,nuts/prunes
1533,07-11-2015,citrus fruit
1667,12-01-2015,beef
4323,13-05-2015,whole milk
2087,22-02-2015,other vegetables
1853,31-05-2015,beef
2157,29-10-2015,fish
1136,29-10-2015,other vegetables
2049,07-10-2015,tropical fruit
3122,02-05-2015,coffee
2245,15-05-2015,sausage
4746,18-10-2015,meat
4224,24-02-2015,chicken
4219,19-03-2015,berries
2641,01-01-2015,frozen meals
3173,25-07-2015,whipped/sour cream
2191,19-10-2015,beef
4212,07-04-2015,chicken
1902,01-12-2015,chicken
1347,27-03-2015,beef
1578,23-06-2015,packaged fruit/vegetables
1264,23-11-2015,sugar
4632,30-09-2015,frankfurter
3452,01-11-2015,berries
4822,10-02-2015,bottled water
3987,18-06-2015,sausage
1672,07-10-2015,whole milk
4864,01-12-2015,ice cream
3368,09-03-2015,frankfurter
1283,22-09-2015,root vegetables
4428,28-06-2015,sausage
2577,25-10-2015,sausage
1973,24-10-2015,beef
3284,23-01-2015,fruit/vegetable juice
1905,19-05-2015,sugar
2226,09-03-2015,berries
1932,04-09-2015,yogurt
4506,11-08-2015,pork
1843,27-11-2015,bottled beer
3973,27-07-2015,curd
1651,28-07-2015,beef
3997,12-10-2015,pork
4796,25-08-2015,white bread
1245,24-09-2015,grapes
3579,17-08-2015,potato products
4387,10-02-2015,root vegetables
2496,29-06-2015,chicken
3590,28-03-2015,chicken
2890,26-04-2015,fish
1401,27-01-2015,canned beer
3297,21-05-2015,other vegetables
2867,23-12-2015,chicken
1365,20-05-2015,other vegetables
2355,24-07-2015,tropical fruit
1170,19-03-2015,whole milk
3554,21-03-2015,beef
4171,26-01-2015,sausage
3963,17-09-2015,whole milk
3076,08-12-2015,rolls/buns
1629,17-05-2015,citrus fruit
1366,30-05-2015,whole milk
3677,29-07-2015,pastry
2844,21-05-2015,tropical fruit
4509,28-09-2015,sliced cheese
3245,11-05-2015,soda
2294,22-06-2015,ham
1234,20-11-2015,salty snack
3001,24-12-2015,whole milk
3587,05-08-2015,root vegetables
2700,22-01-2015,soda
3838,14-12-2015,curd
4045,22-12-2015,bottled water
1858,25-04-2015,packaged fruit/vegetables
2280,11-01-2015,tropical fruit
2454,06-04-2015,ham
4437,09-10-2015,pork
1685,30-03-2015,beverages
